"time","agua.mean_Calidad","agua.mean_Caudal","agua.mean_aguaTinaco","agua.mean_aguacisterna"
"2022-07-21T23:00:00.000-05:00",,,,
"2022-07-22T01:00:00.000-05:00",,,,
"2022-07-22T03:00:00.000-05:00",,,,
"2022-07-22T05:00:00.000-05:00",,,,
"2022-07-22T07:00:00.000-05:00",,,,
"2022-07-22T09:00:00.000-05:00",,,,
"2022-07-22T11:00:00.000-05:00",,,,
"2022-07-22T13:00:00.000-05:00",,,,
"2022-07-22T15:00:00.000-05:00",,,,
"2022-07-22T17:00:00.000-05:00",,,,
"2022-07-22T19:00:00.000-05:00",,,,
"2022-07-22T21:00:00.000-05:00",,,,
"2022-07-22T23:00:00.000-05:00",,,,
"2022-07-23T01:00:00.000-05:00",,,,
"2022-07-23T03:00:00.000-05:00",,,,
"2022-07-23T05:00:00.000-05:00",,,,
"2022-07-23T07:00:00.000-05:00",,,,
"2022-07-23T09:00:00.000-05:00","84.62385881777283","4.312839805825241","31.698513976127536","-16.135922330097088"
"2022-07-23T11:00:00.000-05:00","238.33898305084745","0.2416666666666667","61.530663329161456","70"
"2022-07-23T13:00:00.000-05:00","69.45148443478952","1.0095579710144928","24.992253209384597","37.41488238362403"
"2022-07-23T15:00:00.000-05:00","297.89628493524197","3.594689689689683","60.08150497841218","-29.653403403403402"
"2022-07-23T17:00:00.000-05:00",,,,
"2022-07-23T19:00:00.000-05:00",,,,
"2022-07-23T21:00:00.000-05:00",,,,
"2022-07-23T23:00:00.000-05:00",,,,
"2022-07-24T01:00:00.000-05:00",,,,
"2022-07-24T03:00:00.000-05:00",,,,
"2022-07-24T05:00:00.000-05:00",,,,
"2022-07-24T07:00:00.000-05:00",,,,
"2022-07-24T09:00:00.000-05:00",,,,
"2022-07-24T11:00:00.000-05:00",,,,
"2022-07-24T13:00:00.000-05:00",,,,
"2022-07-24T15:00:00.000-05:00",,,,
"2022-07-24T17:00:00.000-05:00",,,,
"2022-07-24T19:00:00.000-05:00",,,,
"2022-07-24T21:00:00.000-05:00",,,,
"2022-07-24T23:00:00.000-05:00",,,,
"2022-07-25T01:00:00.000-05:00",,,,
"2022-07-25T03:00:00.000-05:00",,,,
"2022-07-25T05:00:00.000-05:00",,,,
"2022-07-25T07:00:00.000-05:00",,,,
"2022-07-25T09:00:00.000-05:00",,,,
"2022-07-25T11:00:00.000-05:00",,,,
"2022-07-25T13:00:00.000-05:00",,,,
"2022-07-25T15:00:00.000-05:00",,,,
"2022-07-25T17:00:00.000-05:00",,,,
"2022-07-25T19:00:00.000-05:00",,,,
"2022-07-25T21:00:00.000-05:00",,,,
"2022-07-25T23:00:00.000-05:00",,,,
"2022-07-26T01:00:00.000-05:00",,,,
"2022-07-26T03:00:00.000-05:00",,,,
"2022-07-26T05:00:00.000-05:00",,,,
"2022-07-26T07:00:00.000-05:00",,,,
"2022-07-26T09:00:00.000-05:00",,,,
"2022-07-26T11:00:00.000-05:00",,,,
"2022-07-26T13:00:00.000-05:00",,,,
"2022-07-26T15:00:00.000-05:00",,,,
"2022-07-26T17:00:00.000-05:00",,,,
"2022-07-26T19:00:00.000-05:00",,,,
"2022-07-26T21:00:00.000-05:00",,,,
"2022-07-26T23:00:00.000-05:00",,,,
"2022-07-27T01:00:00.000-05:00",,,,
"2022-07-27T03:00:00.000-05:00",,,,
"2022-07-27T05:00:00.000-05:00",,,,
"2022-07-27T07:00:00.000-05:00",,,,
"2022-07-27T09:00:00.000-05:00",,,,
"2022-07-27T11:00:00.000-05:00",,,,
"2022-07-27T13:00:00.000-05:00",,,,
"2022-07-27T15:00:00.000-05:00",,,,
"2022-07-27T17:00:00.000-05:00",,,,
"2022-07-27T19:00:00.000-05:00",,,,
"2022-07-27T21:00:00.000-05:00",,,,
"2022-07-27T23:00:00.000-05:00",,,,
"2022-07-28T01:00:00.000-05:00",,,,
"2022-07-28T03:00:00.000-05:00",,,,
"2022-07-28T05:00:00.000-05:00",,,,
"2022-07-28T07:00:00.000-05:00",,,,
"2022-07-28T09:00:00.000-05:00",,,,
"2022-07-28T11:00:00.000-05:00",,,,
"2022-07-28T13:00:00.000-05:00",,,,
"2022-07-28T15:00:00.000-05:00",,,,
"2022-07-28T17:00:00.000-05:00",,,,
"2022-07-28T19:00:00.000-05:00",,,,
"2022-07-28T21:00:00.000-05:00",,,,
"2022-07-28T23:00:00.000-05:00",,,,
"2022-07-29T01:00:00.000-05:00",,,,
"2022-07-29T03:00:00.000-05:00",,,,
"2022-07-29T05:00:00.000-05:00",,,,
"2022-07-29T07:00:00.000-05:00",,,,
"2022-07-29T09:00:00.000-05:00",,,,
"2022-07-29T11:00:00.000-05:00",,,,
"2022-07-29T13:00:00.000-05:00",,,,
"2022-07-29T15:00:00.000-05:00",,,,
"2022-07-29T17:00:00.000-05:00",,,,
"2022-07-29T19:00:00.000-05:00",,,,
"2022-07-29T21:00:00.000-05:00",,,,
"2022-07-29T23:00:00.000-05:00",,,,
"2022-07-30T01:00:00.000-05:00",,,,
"2022-07-30T03:00:00.000-05:00",,,,
"2022-07-30T05:00:00.000-05:00",,,,
"2022-07-30T07:00:00.000-05:00",,,,
"2022-07-30T09:00:00.000-05:00",,,,
"2022-07-30T11:00:00.000-05:00",,,,
"2022-07-30T13:00:00.000-05:00",,,,
"2022-07-30T15:00:00.000-05:00",,,,
"2022-07-30T17:00:00.000-05:00",,,,
"2022-07-30T19:00:00.000-05:00",,,,
"2022-07-30T21:00:00.000-05:00",,,,
"2022-07-30T23:00:00.000-05:00",,,,
"2022-07-31T01:00:00.000-05:00",,,,
"2022-07-31T03:00:00.000-05:00",,,,
"2022-07-31T05:00:00.000-05:00",,,,
"2022-07-31T07:00:00.000-05:00",,,,
"2022-07-31T09:00:00.000-05:00",,,,
"2022-07-31T11:00:00.000-05:00",,,,
"2022-07-31T13:00:00.000-05:00",,,,
"2022-07-31T15:00:00.000-05:00",,,,
"2022-07-31T17:00:00.000-05:00","260","23.400000000000002","12.5","65.89285714285714"
"2022-07-31T19:00:00.000-05:00",,,,
"2022-07-31T21:00:00.000-05:00",,,,
"2022-07-31T23:00:00.000-05:00",,,,
"2022-08-01T01:00:00.000-05:00",,,,
"2022-08-01T03:00:00.000-05:00",,,,
"2022-08-01T05:00:00.000-05:00",,,,
"2022-08-01T07:00:00.000-05:00",,,,
"2022-08-01T09:00:00.000-05:00",,,,
"2022-08-01T11:00:00.000-05:00",,,,
"2022-08-01T13:00:00.000-05:00",,,,
"2022-08-01T15:00:00.000-05:00",,,,
"2022-08-01T17:00:00.000-05:00",,,,
"2022-08-01T19:00:00.000-05:00",,,,
"2022-08-01T21:00:00.000-05:00",,,,
"2022-08-01T23:00:00.000-05:00",,,,
"2022-08-02T01:00:00.000-05:00",,,,
"2022-08-02T03:00:00.000-05:00",,,,
"2022-08-02T05:00:00.000-05:00",,,,
"2022-08-02T07:00:00.000-05:00",,,,
"2022-08-02T09:00:00.000-05:00",,,,
"2022-08-02T11:00:00.000-05:00",,,,
"2022-08-02T13:00:00.000-05:00",,,,
"2022-08-02T15:00:00.000-05:00",,,,
"2022-08-02T17:00:00.000-05:00",,,,
"2022-08-02T19:00:00.000-05:00",,,,
"2022-08-02T21:00:00.000-05:00",,,,
